label,state,confirmed,cured,death
1,Andaman and Nicobar Islands,2,0,0.0
2,Andhra Pradesh,14,1,0.0
3,Bihar,9,0,1.0
4,Chandigarh,7,0,0.0
5,Chhattisgarh,6,0,0.0
6,Delhi,39,6,1.0
7,Goa,3,0,0.0
8,Gujarat,45,0,3.0
9,Haryana,33,11,0.0
10,Himachal Pradesh,3,0,1.0
11,Jammu and Kashmir,18,1,1.0
12,Karnataka,55,3,2.0
13,Kerala,173,11,0.0
14,Ladakh,13,3,0.0
15,Madhya Pradesh,30,0,2.0
16,Maharashtra,180,25,5.0
17,Manipur,1,0,0.0
18,Mizoram,1,0,0.0
19,Odisha,3,0,0.0
20,Puducherry,1,0,0.0
21,Punjab,38,1,1.0
22,Rajasthan,48,3,0.0
23,Tamil Nadu,38,2,1.0
24,Telengana,48,1,0.0
25,Uttarakhand,5,0,0.0
26,Uttar Pradesh,45,11,0.0
27,West Bengal,15,0,1.0
Total number of confirmed cases in India,826#,126,19,
